"","RECORD_ID","Parcel number","Registered units","TrueRoll unit count"
"22032","001-0136023","DV0076-223",1,NA
"22033","001-0136023","DV0076-223",1,NA
"22034","001-0136024","DV0005-655",1,NA
"22035","001-0136028","DV1194-662",1,NA
"22036","001-0136029","DV0090-641",1,NA
"22037","001-0136032","DV1210-916",1,NA
"22038","001-0136033","DV0088-903",58,NA
"22039","001-0136034","DV0069-974",1,NA
"22040","001-0136035","DV0023-908",1,NA
"22041","001-0136036","DV0001-112",1,NA
"22042","001-0136037","DV1099-819",1,NA
"22043","001-0136038","DV0015-166",1,NA
"22044","001-0136039","DV0001-383",1,NA
"22045","001-0136040","DV1105-789",1,NA
"22046","001-0136041","DV0089-737",1,NA
"22047","001-0136042","DV0068-107",1,NA
"22048","001-0136043","DV1117-351",1,NA
"22049","001-0136045","DV0071-092",1,NA
"22050","001-0136046","RW0245-468",1,NA
"22051","001-0136047","DV0090-106",1,NA
"22052","001-0136049","NULL-",1,NA
"22053","001-0136051","NULL-",1,NA
"22054","001-0136052","NULL-",1,NA
"22055","001-0136053","RW0238-157",1,NA
"22056","001-0136054","DV0083-232",1,NA
"22057","001-0136055","DV0057-239",1,NA
"22058","001-0136057","DV0067-885",1,NA
"22059","001-0136059","DV0093-942",2,NA
"22060","001-0136060","DV0041-218",1,NA
"22061","001-0136063","DV1095-540",1,NA
"22062","001-0136067","DV0026-627",1,NA
"22063","001-0136068","DV1131-548",1,NA
"22064","001-0136069","DV0066-353",1,NA
"22065","001-0136070","DV0080-113",1,NA
"22066","001-0136071","DV0063-411",1,NA
"22067","001-0136072","DV0015-978",1,NA
"22068","001-0136073","DV0049-167",1,NA
"22069","001-0136074","DV0039-046",1,NA
"22070","001-0136079","DV1102-122",1,NA
"22071","001-0136081","DV0002-120",1,NA
"22072","001-0136082","DV0054-893",1,NA
"22073","001-0136085","DV0067-336",1,NA
"22074","001-0136086","DV0067-437",1,NA
"22075","001-0136087","DV0073-521",1,NA
"22076","001-0136088","DV0081-556",1,NA
"22077","001-0136092","DV1115-901",1,NA
"22078","001-0136092","DV1115-901",1,NA
"22079","001-0136093","DV1149-540",1,NA
"22080","001-0136094","DV0003-445",1,NA
"22081","001-0136094","DV0003-445",1,NA
"22082","001-0136095","DV0087-847",1,NA
"22083","001-0136097","DV0080-572",1,NA
"22084","001-0136098","DV0058-767",1,NA
"22085","001-0136099","DV0056-334",2,NA
"22086","001-0136100","DV1224-872",1,NA
"22087","001-0136103","DV1190-193",1,NA
"22088","001-0136105","DV1158-277",2,NA
"22089","001-0136106","DV0009-147",1,NA
"22090","001-0136106","DV0009-147",1,NA
"22091","001-0136109","DV1163-797",1,NA
"22092","001-0136110","DV1180-918",1,NA
"22093","001-0136111","DV1167-975",1,NA
"22094","001-0136112","DV1225-064",1,NA
"22095","001-0136113","DV0029-781",1,NA
"22096","001-0136115","DV0058-111",1,NA
"22097","001-0136116","DV0064-031",1,NA
"22098","001-0136117","DV0056-814",1,NA
"22099","001-0136118","DV0053-082",1,NA
"22100","001-0136119","DV0069-931",1,NA
"22101","001-0136122","DV0012-296",1,NA
"22102","001-0136123","DV0075-904",1,NA
"22103","001-0136126","DV1100-163",1,NA
"22104","001-0136127","DV0091-067",1,NA
"22105","001-0136129","DV0068-881",1,NA
"22106","001-0136131","DV0016-899",1,NA
"22107","001-0136135","DV0073-224",1,NA
"22108","001-0136137","DV0009-965",1,NA
"22109","001-0136139","DV1204-805",1,NA
"22110","001-0136142","DV0014-586",1,NA
"22111","001-0136143","DV0088-984",1,NA
"22112","001-0136145","DV0004-981",1,NA
"22113","001-0136145","DV0004-981",1,NA
"22114","001-0136147","DV1162-916",1,NA
"22115","001-0136148","DV0014-966",1,NA
"22116","001-0136149","DV1093-296",1,NA
"22117","001-0136150","DV0067-545",1,NA
"22118","001-0136151","DV0043-186",1,NA
"22119","001-0136153","NULL-",1,NA
"22120","001-0136155","DV0088-275",1,NA
"22121","001-0136156","DV0088-275",1,NA
"22122","001-0136157","DV0073-638",1,NA
"22123","001-0136158","DV0087-623",1,NA
"22124","001-0136159","DV0025-015",1,NA
"22125","001-0136160","DV0018-397",1,NA
"22126","001-0136161","DV0031-829",1,NA
"22127","001-0136162","DV1207-350",1,NA
"22128","001-0136163","DV1190-956",1,NA
"22129","001-0136164","DV0025-264",1,NA
"22130","001-0136167","DV0077-406",1,NA
"22131","001-0136168","DV0035-842",1,NA
"22132","001-0136168","DV0035-842",1,NA
"22133","001-0136169","DV1125-968",1,NA
"22134","001-0136170","DV0088-411",3,NA
"22135","001-0136170","DV0088-411",3,NA
"22136","001-0136171","DV0005-271",1,NA
"22137","001-0136172","DV0033-983",1,NA
"22138","001-0136173","DV0052-425",1,NA
"22139","001-0136174","DV0013-356",1,NA
"22140","001-0136178","DV0002-717",1,NA
"22141","001-0136178","DV0002-717",1,NA
"22142","001-0136180","DV1095-393",1,NA
"22143","001-0136181","DV0053-505",1,NA
"22144","001-0136184","DV0067-272",1,NA
"22145","001-0136185","DV0002-285",1,NA
"22146","001-0136187","DV0043-714",1,NA
"22147","001-0136189","DV1216-471",1,NA
"22148","001-0136191","DV0086-757",1,NA
"22149","001-0136192","DV0035-844",132,NA
"22150","001-0136195","DV0092-530",1,NA
"22151","001-0136197","DV0043-224",1,NA
"22152","001-0136198","DV0067-394",1,NA
"22153","001-0136199","DV0030-404",1,NA
"22154","001-0136200","DV1154-640",1,NA
"22155","001-0136202","DV1218-701",2,NA
"22156","001-0136203","DV0034-450",6,NA
"22157","001-0136204","DV0090-812",1,NA
"22158","001-0136205","DV0066-934",1,NA
"22159","001-0136206","DV1101-938",1,NA
"22160","001-0136212","DV0088-117",61,NA
"22161","001-0136213","DV0079-500",1,NA
"22162","001-0136214","DV0081-773",188,NA
"22163","001-0136215","DV1180-809",1,NA
"22164","001-0136219","DV0088-277",1,NA
"22165","001-0136224","DV0054-625",1,NA
"22166","001-0136228","DV1167-430",1,NA
"22167","001-0136229","DV1133-372",1,NA
"22168","001-0136230","DV0074-844",1,NA
"22169","001-0136231","DV0040-214",1,NA
"22170","001-0136232","DV0015-810",1,NA
"22171","001-0136234","DV0035-830",2,NA
"22172","001-0136235","DV0041-192",1,NA
"22173","001-0136237","DV0067-506",1,NA
"22174","001-0136238","DV0090-771",1,NA
"22175","001-0136239","DV0007-247",1,NA
"22176","001-0136241","DV0016-884",1,NA
"22177","001-0136243","DV1166-361",1,NA
"22178","001-0136245","DV0068-587",1,NA
"22179","001-0136246","DV0015-842",1,NA
"22180","001-0136248","DV0005-003",6,NA
"22181","001-0136251","DV0082-328",1,NA
"22182","001-0136254","DV1207-989",1,NA
"22183","001-0136255","DV1225-235",1,NA
"22184","001-0136256","DV0088-544",1,NA
"22185","001-0136257","NULL-",2,NA
"22186","001-0136258","DV0008-496",1,NA
"22187","001-0136258","DV0008-496",1,NA
"22188","001-0136260","DV0031-362",1,NA
"22189","001-0136261","DV0072-643",1,NA
"22190","001-0136261","DV0072-643",1,NA
"22191","001-0136263","DV1119-309",1,NA
"22192","001-0136266","DV0013-391",1,NA
"22193","001-0136268","DV0052-208",1,NA
"22194","001-0136268","DV0052-208",1,NA
"22195","001-0136271","DV0029-717",2,NA
"22196","001-0136273","DV0036-177",1,NA
"22197","001-0136274","DV0052-208",1,NA
"22198","001-0136277","DV0003-445",2,NA
"22199","001-0136281","DV0067-438",1,NA
"22200","001-0136284","DV1097-380",1,NA
"22201","001-0136286","DV0043-908",1,NA
"22202","001-0136288","DV0019-820",2,NA
"22203","001-0136290","DV0055-285",1,NA
"22204","001-0136292","DV0074-287",1,NA
"22205","001-0136293","DV0019-594",1,NA
"22206","001-0136294","DV1196-625",1,NA
"22207","001-0136294","DV1196-625",1,NA
"22208","001-0136295","DV0067-607",2,NA
"22209","001-0136296","DV0087-602",1,NA
"22210","001-0136297","DV0056-071",1,NA
"22211","001-0136298","DV1210-955",1,NA
"22212","001-0136299","DV0010-099",1,NA
"22213","001-0136300","DV1110-568",1,NA
"22214","001-0136301","DV0076-562",2,NA
"22215","001-0136302","DV0030-931",1,NA
"22216","001-0136305","DV0004-720",1,NA
"22217","001-0136309","DV0003-445",1,NA
"22218","001-0136310","DV1183-385",4,NA
"22219","001-0136312","DV1151-782",1,NA
"22220","001-0136312","DV1151-782",1,NA
"22221","001-0136315","DV0085-437",2,NA
"22222","001-0136315","DV0085-437",2,NA
"22223","001-0136319","DV1157-460",1,NA
"22224","001-0136320","DV1182-912",1,NA
"22225","001-0136321","DV0074-642",2,NA
"22226","001-0136322","DV0046-532",1,NA
"22227","001-0136323","DV0078-514",1,NA
"22228","001-0136324","DV1183-714",1,NA
"22229","001-0136325","DV1209-597",1,NA
"22230","001-0136326","DV0072-639",1,NA
"22231","001-0136327","DV0021-894",1,NA
"22232","001-0136328","DV1174-805",2,NA
"22233","001-0136329","DV1220-420",1,NA
"22234","001-0136330","DV0085-626",1,NA
"22235","001-0136331","DV0052-208",1,NA
"22236","001-0136333","DV0065-598",76,NA
"22237","001-0136334","DV0012-208",1,NA
"22238","001-0136335","DV0015-191",2,NA
"22239","001-0136336","DV0001-817",384,NA
"22240","001-0136337","RW0242-201",1,NA
"22241","001-0136339","DV0044-632",1,NA
"22242","001-0136340","DV0049-666",1,NA
"22243","001-0136340","DV0049-666",1,NA
"22244","001-0136342","NULL-",1,NA
"22245","001-0136344","DV0027-280",1,NA
"22246","001-0136345","DV1160-212",1,NA
"22247","001-0136346","DV1193-500",1,NA
"22248","001-0136347","DV1132-641",1,NA
"22249","001-0136347","DV1132-641",1,NA
"22250","001-0136348","DV0003-445",1,NA
"22251","001-0136349","DV0009-025",1,NA
"22252","001-0136351","DV0061-798",1,NA
"22253","001-0136353","DV0062-796",1,NA
"22254","001-0136359","DV0059-890",1,NA
"22255","001-0136362","DV0023-478",4,NA
"22256","001-0136363","DV0087-136",7,NA
"22257","001-0136364","DV0085-259",5,NA
"22258","001-0136365","DV1151-883",9,NA
"22259","001-0136366","DV0024-691",13,NA
"22260","001-0136367","DV0038-908",4,NA
"22261","001-0136372","DV1174-207",4,NA
"22262","001-0136375","DV0022-548",1,NA
"22263","001-0136376","DV0060-910",1,NA
"22264","001-0136377","DV1221-975",1,NA
"22265","001-0136378","DV0033-254",1,NA
"22266","001-0136379","DV0042-663",2,NA
"22267","001-0136379","DV0042-663",2,NA
"22268","001-0136380","DV0072-361",1,NA
"22269","001-0136381","DV0074-694",1,NA
"22270","001-0136381","DV0074-694",1,NA
"22271","001-0136383","DV0085-843",1,NA
"22272","001-0136385","DV1123-388",1,NA
"22273","001-0136387","DV0003-445",1,NA
"22274","001-0136388","DV0070-556",1,NA
"22275","001-0136389","DV1131-015",1,NA
"22276","001-0136390","DV0092-379",1,NA
"22277","001-0136391","DV0004-720",1,NA
"22278","001-0136392","DV0019-805",1,NA
"22279","001-0136393","DV1166-391",3,NA
"22280","001-0136393","DV1166-391",3,NA
"22281","001-0136394","NULL-",1,NA
"22282","001-0136395","DV0005-403",1,NA
"22283","001-0136398","DV1131-315",1,NA
"22284","001-0136400","DV0087-310",1,NA
"22285","001-0136400","DV0087-310",1,NA
"22286","001-0136402","DV0076-123",1,NA
"22287","001-0136403","DV0060-818",1,NA
"22288","001-0136405","DV0016-899",1,NA
"22289","001-0136406","DV0005-064",1,NA
"22290","001-0136407","DV0065-428",12,NA
"22291","001-0136407","DV0065-428",12,NA
"22292","001-0136410","DV0016-899",1,NA
"22293","001-0136411","DV0012-044",1,NA
"22294","001-0136414","DV0020-797",1,NA
"22295","001-0136415","NULL-",1,NA
"22296","001-0136416","DV0029-834",1,NA
"22297","001-0136417","DV0041-006",1,NA
"22298","001-0136418","DV0016-876",1,NA
"22299","001-0136421","DV0007-382",1,NA
"22300","001-0136422","DV0090-700",2,NA
"22301","001-0136424","DV1182-427",1,NA
"22302","001-0136425","DV0032-997",2,NA
"22303","001-0136427","DV0046-486",1,NA
"22304","001-0136429","DV0071-639",1,NA
"22305","001-0136430","DV0056-071",1,NA
"22306","001-0136432","DV1128-708",1,NA
"22307","001-0136433","DV0007-484",1,NA
"22308","001-0136437","DV0089-249",1,NA
"22309","001-0136439","DV0011-516",15,NA
"22310","001-0136440","NULL-",1,NA
"22311","001-0136442","DV0076-087",159,NA
"22312","001-0136443","DV0016-899",1,NA
"22313","001-0136446","DV0044-804",1,NA
"22314","001-0136448","DV0011-801",1,NA
"22315","001-0136449","DV1174-232",1,NA
"22316","001-0136450","DV0062-889",1,NA
"22317","001-0136452","DV1093-847",1,NA
"22318","001-0136453","DV1117-449",1,NA
"22319","001-0136454","DV1100-117",2,NA
"22320","001-0136458","DV0016-876",1,NA
"22321","001-0136459","DV0004-720",1,NA
"22322","001-0136460","DV1135-548",1,NA
"22323","001-0136460","DV1135-548",1,NA
"22324","001-0136462","DV0026-323",1,NA
"22325","001-0136463","NULL-",1,NA
"22326","001-0136463","NULL-",1,NA
"22327","001-0136464","DV0088-156",8,NA
"22328","001-0136465","DV0085-067",1,NA
"22329","001-0136466","DV0078-002",1,NA
"22330","001-0136468","DV0068-146",1,NA
"22331","001-0136469","DV1209-088",2,NA
"22332","001-0136470","DV0015-874",1,NA
"22333","001-0136472","DV0083-442",1,NA
"22334","001-0136474","DV0018-397",1,NA
"22335","001-0136475","DV0001-824",1,NA
"22336","001-0136477","DV0009-949",1,NA
"22337","001-0136478","DV0007-815",49,NA
"22338","001-0136478","DV0080-803",49,NA
"22339","001-0136479","DV1115-641",1,NA
"22340","001-0136481","DV0085-848",1,NA
"22341","001-0136487","927220-1165",1,NA
"22342","001-0136488","NULL-",1,NA
"22343","001-0136489","DV0018-330",4,NA
"22344","001-0136491","DV0062-119",1,NA
"22345","001-0136492","DV0087-004",13,NA
"22346","001-0136494","DV0084-978",1,NA
"22347","001-0136496","DV0052-425",1,NA
"22348","001-0136497","DV0031-724",2,NA
"22349","001-0136500","DV0088-987",1,NA
"22350","001-0136501","DV1138-463",1,NA
"22351","001-0136502","DV1129-869",1,NA
"22352","001-0136504","DV1203-421",1,NA
"22353","001-0136505","RW0274-725",1,NA
"22354","001-0136506","DV0072-002",1,NA
"22355","001-0136507","DV0003-445",4,NA
"22356","001-0136507","DV0003-445",4,NA
"22357","001-0136507","DV0003-445",4,NA
"22358","001-0136508","DV0019-901",1,NA
"22359","001-0136510","DV0034-680",1,NA
"22360","001-0136511","DV0067-437",1,NA
"22361","001-0136512","DV0087-002",1,NA
"22362","001-0136513","DV1176-316",1,NA
"22363","001-0136514","DV0029-329",1,NA
"22364","001-0136515","DV1220-191",1,NA
"22365","001-0136517","DV1179-966",1,NA
"22366","001-0136519","DV0041-922",1,NA
"22367","001-0136520","DV0038-682",1,NA
"22368","001-0136521","DV1103-062",2,NA
"22369","001-0136529","DV0071-044",1,NA
"22370","001-0136531","DV1123-068",2,NA
"22371","001-0136532","DV0068-557",2,NA
"22372","001-0136534","DV0047-888",1,NA
"22373","001-0136535","DV0068-540",1,NA
"22374","001-0136536","DV1158-690",1,NA
"22375","001-0136537","DV0066-424",1,NA
"22376","001-0136538","DV0075-328",1,NA
"22377","001-0136540","DV0062-363",1,NA
"22378","001-0136541","DV0004-947",1,NA
"22379","001-0136542","DV0074-727",1,NA
"22380","001-0136543","DV0023-537",1,NA
"22381","001-0136544","DV1119-370",1,NA
"22382","001-0136550","DV1159-207",1,NA
"22383","001-0136551","DV0016-905",1,NA
"22384","001-0136552","DV0092-698",1,NA
"22385","001-0136553","DV0015-978",1,NA
"22386","001-0136554","DV0019-142",1,NA
"22387","001-0136555","NULL-",2,NA
"22388","001-0136556","NULL-",1,NA
"22389","001-0136557","DV0074-727",1,NA
"22390","001-0136558","DV1118-567",1,NA
"22391","001-0136564","DV0083-814",1,NA
"22392","001-0136565","DV0011-971",1,NA
"22393","001-0136567","DV0090-382",1,NA
"22394","001-0136570","DV0076-557",1,NA
"22395","001-0136572","DV0016-939",111,NA
"22396","001-0136573","RW0265-521",1,NA
"22397","001-0136575","DV0056-207",1,NA
"22398","001-0136576","DV0030-295",1,NA
"22399","001-0136579","DV1096-752",2,NA
"22400","001-0136583","DV0016-899",1,NA
"22401","001-0136584","DV0012-524",1,NA
"22402","001-0136586","DV1097-686",1,NA
"22403","001-0136588","DV1162-922",1,NA
"22404","001-0136589","DV0011-551",1,NA
"22405","001-0136591","DV0071-550",1,NA
"22406","001-0136592","DV0013-509",1,NA
"22407","001-0136593","DV0018-397",1,NA
"22408","001-0136594","DV0013-232",20,NA
"22409","001-0136595","DV0078-552",1,NA
"22410","001-0136597","DV0088-274",2,NA
"22411","001-0136598","DV0084-218",1,NA
"22412","001-0136599","DV0009-234",1,NA
"22413","001-0136603","DV0050-818",1,NA
"22414","001-0136604","DV0082-693",1,NA
"22415","001-0136605","DV0034-786",1,NA
"22416","001-0136606","DV1222-309",1,NA
"22417","001-0136607","DV0054-694",1,NA
"22418","001-0136608","DV0082-255",2,NA
"22419","001-0136612","DV1209-665",1,NA
"22420","001-0136613","DV0016-876",2,NA
"22421","001-0136614","DV0016-902",1,NA
"22422","001-0136616","DV0023-484",1,NA
"22423","001-0136617","DV0029-922",1,NA
"22424","001-0136618","DV0013-395",1,NA
"22425","001-0136619","DV0044-330",1,NA
"22426","001-0136620","DV0057-834",1,NA
"22427","001-0136621","DV0029-717",1,NA
"22428","001-0136622","DV0052-208",1,NA
"22429","001-0136623","DV0053-012",1,NA
"22430","001-0136624","DV0080-018",1,NA
"22431","001-0136625","DV0027-797",1,NA
"22432","001-0136628","DV0041-522",2,NA
"22433","001-0136631","DV0030-435",1,NA
"22434","001-0136632","DV0008-689",1,NA
"22435","001-0136633","DV1153-408",4,NA
"22436","001-0136634","DV0032-614",1,NA
"22437","001-0136636","DV0038-597",1,NA
"22438","001-0136636","DV0038-597",1,NA
"22439","001-0136637","DV1223-027",1,NA
"22440","001-0136639","DV1125-551",2,NA
"22441","001-0136641","DV0067-263",1,NA
"22442","001-0136641","DV0067-263",1,NA
"22443","001-0136647","DV0084-038",1,NA
"22444","001-0136649","DV0029-717",1,NA
"22445","001-0136652","DV0081-999",1,NA
"22446","001-0136653","DV0061-058",1,NA
"22447","001-0136654","DV0006-166",1,NA
"22448","001-0136657","DV0068-680",1,NA
"22449","001-0136658","DV1096-156",1,NA
"22450","001-0136659","DV0014-441",1,NA
"22451","001-0136659","DV0014-441",1,NA
"22452","001-0136661","DV0015-065",7,NA
"22453","001-0136663","DV0092-545",1,NA
"22454","001-0136664","DV1197-512",1,NA
"22455","001-0136665","DV0018-263",1,NA
"22456","001-0136666","DV0079-108",1,NA
"22457","001-0136667","DV0076-989",1,NA
"22458","001-0136667","DV0076-989",1,NA
"22459","001-0136668","DV0009-686",1,NA
"22460","001-0136670","DV1190-974",2,NA
"22461","001-0136671","DV0045-981",1,NA
"22462","001-0136673","DV0085-269",2,NA
"22463","001-0136677","DV1182-430",1,NA
"22464","001-0136684","DV0001-262",144,NA
"22465","001-0136685","DV0066-706",1,NA
"22466","001-0136686","DV0089-625",1,NA
"22467","001-0136686","DV0089-625",1,NA
"22468","001-0136688","DV0074-012",1,NA
"22469","001-0136693","DV1164-554",1,NA
"22470","001-0136694","DV0064-936",1,NA
"22471","001-0136695","DV0020-028",2,NA
"22472","001-0136697","DV0023-285",3,NA
"22473","001-0136700","DV0054-880",1,NA
"22474","001-0136700","DV0054-880",1,NA
"22475","001-0136701","DV0060-733",1,NA
"22476","001-0136703","DV0083-356",1,NA
"22477","001-0136705","DV0068-094",1,NA
"22478","001-0136705","DV0068-094",1,NA
"22479","001-0136707","DV0011-937",1,NA
"22480","001-0136708","DV0067-735",1,NA
"22481","001-0136709","DV0079-129",1,NA
"22482","001-0136711","DV0004-294",1,NA
"22483","001-0136715","DV1119-777",1,NA
"22484","001-0136718","DV0075-885",1,NA
"22485","001-0136719","DV1131-370",1,NA
"22486","001-0136720","DV1196-021",1,NA
"22487","001-0136721","DV0088-035",1,NA
"22488","001-0136722","DV0083-643",1,NA
"22489","001-0136724","DV0007-845",2,NA
"22490","001-0136725","DV0007-845",1,NA
"22491","001-0136726","DV0032-142",1,NA
"22492","001-0136727","DV0016-876",1,NA
"22493","001-0136728","DV0084-763",49,NA
"22494","001-0136729","DV0049-591",1,NA
"22495","001-0136731","DV0072-613",33,NA
"22496","001-0136733","DV1204-529",1,NA
"22497","001-0136734","DV1141-260",1,NA
"22498","001-0136735","DV0014-943",1,NA
"22499","001-0136735","DV0014-943",1,NA
"22500","001-0136736","DV1125-921",1,NA
"22501","001-0136737","DV1191-171",2,NA
"22502","001-0136738","DV0080-452",1,NA
"22503","001-0136743","DV1173-514",1,NA
"22504","001-0136744","DV1195-478",1,NA
"22505","001-0136745","DV1110-364",1,NA
"22506","001-0136748","DV0083-310",1,NA
"22507","001-0136748","DV0083-310",1,NA
"22508","001-0136750","DV0016-899",1,NA
"22509","001-0136750","DV0016-899",1,NA
"22510","001-0136752","DV0055-144",1,NA
"22511","001-0136753","RW0264-665",1,NA
"22512","001-0136753","RW0264-665",1,NA
"22513","001-0136754","DV0024-444",1,NA
"22514","001-0136759","DV0043-766",1,NA
"22515","001-0136761","DV1162-222",1,NA
"22516","001-0136762","DV0049-025",1,NA
"22517","001-0136763","DV0078-499",1,NA
"22518","001-0136764","DV1134-910",1,NA
"22519","001-0136765","DV0002-667",1,NA
"22520","001-0136766","DV0012-701",1,NA
"22521","001-0136767","DV0020-160",1,NA
"22522","001-0136768","DV0058-978",1,NA
"22523","001-0136769","DV0084-394",1,NA
"22524","001-0136770","DV0014-755",1,NA
"22525","001-0136773","DV0084-246",178,NA
"22526","001-0136774","DV0020-773",226,NA
"22527","001-0136776","DV1145-916",1,NA
"22528","001-0136777","NULL-",1,NA
"22529","001-0136778","DV0046-436",1,NA
"22530","001-0136778","DV0046-436",1,NA
"22531","001-0136782","DV0029-427",1,NA
"22532","001-0136784","DV0092-526",1,NA
"22533","001-0136786","DV1193-680",1,NA
"22534","001-0136788","DV1205-452",1,NA
"22535","001-0136789","DV0014-909",9,NA
"22536","001-0136790","DV0068-548",1,NA
"22537","001-0136792","DV0021-687",2,NA
"22538","001-0136793","DV0004-720",1,NA
"22539","001-0136794","DV0043-689",1,NA
"22540","001-0136794","DV0043-689",1,NA
"22541","001-0136796","NULL-",1,NA
"22542","001-0136797","DV0003-445",1,NA
"22543","001-0136799","DV0083-819",1,NA
"22544","001-0136801","DV0029-717",1,NA
"22545","001-0136802","DV0009-522",1,NA
"22546","001-0136803","DV1133-722",1,NA
"22547","001-0136805","DV0031-652",1,NA
"22548","001-0136807","DV0059-890",1,NA
"22549","001-0136808","DV1171-044",1,NA
"22550","001-0136811","DV1194-387",1,NA
"22551","001-0136812","DV1094-428",1,NA
"22552","001-0136813","DV1207-357",2,NA
"22553","001-0136814","DV0042-000",1,NA
"22554","001-0136816","DV0029-717",1,NA
"22555","001-0136817","DV0010-099",1,NA
"22556","001-0136817","DV0010-099",1,NA
"22557","001-0136822","DV0085-032",1,NA
"22558","001-0136823","DV0001-965",1,NA
"22559","001-0136824","DV1224-553",1,NA
"22560","001-0136826","DV0016-323",1,NA
"22561","001-0136827","DV0087-895",1,NA
"22562","001-0136832","DV1168-902",2,NA
"22563","001-0136832","DV1168-902",2,NA
"22564","001-0136833","RW0271-270",1,NA
"22565","001-0136834","DV1154-172",1,NA
"22566","001-0136835","DV0080-073",41,NA
"22567","001-0136836","DV0084-739",1,NA
"22568","001-0136839","DV0052-995",1,NA
"22569","001-0136840","DV1199-960",1,NA
"22570","001-0136841","DV0058-994",1,NA
"22571","001-0136843","DV0003-445",1,NA
"22572","001-0136843","DV0003-445",1,NA
"22573","001-0136844","DV0018-329",21,NA
"22574","001-0136845","DV0338-358",1,NA
"22575","001-0136846","DV1130-467",1,NA
"22576","001-0136847","DV0057-498",1,NA
"22577","001-0136848","DV1146-928",1,NA
"22578","001-0136849","DV0013-509",1,NA
"22579","001-0136850","DV1160-076",1,NA
"22580","001-0136852","DV0017-975",1,NA
"22581","001-0136853","DV0088-249",1,NA
"22582","001-0136854","DV0057-333",1,NA
"22583","001-0136855","DV0011-220",1,NA
"22584","001-0136856","DV1107-665",1,NA
"22585","001-0136857","DV0040-076",1,NA
"22586","001-0136858","DV0085-520",3,NA
"22587","001-0136859","DV0032-916",2,NA
"22588","001-0136860","DV0014-755",1,NA
"22589","001-0136863","DV0050-802",10,NA
"22590","001-0136866","DV1096-748",1,NA
"22591","001-0136867","NULL-",1,NA
"22592","001-0136868","DV0042-583",3,NA
"22593","001-0136868","DV0042-583",3,NA
"22594","001-0136869","DV0057-626",1,NA
"22595","001-0136870","DV1111-469",1,NA
"22596","001-0136871","DV0054-590",24,NA
"22597","001-0136872","DV0074-510",1,NA
"22598","001-0136875","DV0063-360",1,NA
"22599","001-0136877","DV0007-485",1,NA
"22600","001-0136878","RW0304-643",1,NA
"22601","001-0136879","DV0052-208",1,NA
"22602","001-0136880","DV0085-443",1,NA
"22603","001-0136881","DV0063-688",1,NA
"22604","001-0136882","DV1124-363",1,NA
"22605","001-0136883","DV0078-093",2,NA
"22606","001-0136885","DV1154-857",1,NA
"22607","001-0136887","DV0052-208",1,NA
"22608","001-0136888","DV0086-732",1,NA
"22609","001-0136895","DV1183-963",1,NA
"22610","001-0136896","DV0073-521",1,NA
"22611","001-0136897","DV1119-901",1,NA
"22612","001-0136898","DV0070-933",1,NA
"22613","001-0136900","DV0014-755",1,NA
"22614","001-0136901","DV1091-870",1,NA
"22615","001-0136902","DV0014-713",1,NA
"22616","001-0136903","DV0089-613",2,NA
"22617","001-0136903","DV0089-613",2,NA
"22618","001-0136904","DV0011-066",1,NA
"22619","001-0136907","DV0014-090",1,NA
"22620","001-0136908","DV0005-949",1,NA
"22621","001-0136908","DV0005-949",1,NA
"22622","001-0136909","DV1109-158",1,NA
"22623","001-0136911","DV0081-561",8,NA
"22624","001-0136912","DV0078-085",40,NA
"22625","001-0136913","DV0079-723",2,NA
"22626","001-0136921","DV0019-555",1,NA
"22627","001-0136923","DV0069-981",36,NA
"22628","001-0136924","DV0053-291",1,NA
"22629","001-0136925","DV0004-720",1,NA
"22630","001-0136928","DV0004-317",1,NA
"22631","001-0136931","DV1190-770",1,NA
"22632","001-0136935","DV0023-644",1,NA
"22633","001-0136936","DV0003-445",1,NA
"22634","001-0136937","DV0078-428",1,NA
"22635","001-0136938","DV0074-510",1,NA
"22636","001-0136940","DV0068-282",1,NA
"22637","001-0136941","DV0075-367",1,NA
"22638","001-0136942","DV0068-519",1,NA
"22639","001-0136945","DV0052-208",1,NA
"22640","001-0136946","DV1203-391",1,NA
"22641","001-0136947","DV0052-208",1,NA
"22642","001-0136948","DV0052-208",1,NA
"22643","001-0136949","DV0016-899",1,NA
"22644","001-0136950","DV0018-303",3,NA
"22645","001-0136950","DV0018-303",3,NA
"22646","001-0136951","DV0032-739",1,NA
"22647","001-0136952","DV0076-601",2,NA
"22648","001-0136952","DV0076-601",2,NA
"22649","001-0136954","DV1120-755",2,NA
"22650","001-0136956","DV1126-309",1,NA
"22651","001-0136956","DV1126-309",1,NA
"22652","001-0136957","DV0083-334",79,NA
"22653","001-0136958","DV0080-534",70,NA
"22654","001-0136959","DV1114-345",1,NA
"22655","001-0136960","DV0028-315",1,NA
"22656","001-0136961","DV0002-957",1,NA
"22657","001-0136964","DV0084-693",1,NA
"22658","001-0136965","DV0029-717",1,NA
"22659","001-0136966","DV0012-615",1,NA
"22660","001-0136967","DV0068-555",1,NA
"22661","001-0136970","DV1093-920",2,NA
"22662","001-0136971","DV0016-899",1,NA
"22663","001-0136972","DV0043-511",1,NA
"22664","001-0136973","DV0076-369",1,NA
"22665","001-0136974","DV0047-885",2,NA
"22666","001-0136974","DV0047-885",2,NA
"22667","001-0136974","DV0047-885",2,NA
