"","RECORD_ID","Parcel number","Registered units","TrueRoll unit count"
"674","001-0100974","197920-0245",66,NA
"675","001-0100977","199120-0225",258,NA
"676","001-0100978","197220-0480",22,NA
"677","001-0100979","229140-0280",13,1
"678","001-0100980","152250-0000",123,NA
"679","001-0100980","DV0006-138",123,NA
"680","001-0100981","065900-0715",53,NA
"681","001-0100982","197220-2755",17,NA
"682","001-0100983","952310-0465",22,2
"683","001-0100984","952310-0445",21,NA
"684","001-0100985","675870-0010",13,NA
"685","001-0100986","352890-0685",92,NA
"686","001-0100986","352890-0721",92,NA
"687","001-0100987","168940-0905",11,2
"688","001-0100988","216390-0205",11,NA
"689","001-0100989","982870-2625",19,1
"690","001-0100990","232403-9049",13,6
"691","001-0100990","DV0005-497",13,NA
"692","001-0100992","212604-9155",1,NA
"693","001-0100993","881640-0765",34,NA
"694","001-0100994","545780-0145",23,NA
"695","001-0100994","545780-0145",23,NA
"696","001-0100994","545780-0145",23,NA
"697","001-0100994","545780-0145",23,NA
"698","001-0100995","193130-0555",12,2
"699","001-0100996","189000-0145",14,3
"700","001-0100997","952810-1750",12,NA
"701","001-0100998","766370-0891",84,1
"702","001-0100999","423540-0735",33,10
"703","001-0101000","197820-0440",76,NA
"704","001-0101001","197220-5620",10,4
"705","001-0101003","198920-1305",24,NA
"706","001-0101004","802985-0010",154,1
"707","001-0101004","DV0045-049",154,NA
"708","001-0101005","682410-0066",31,NA
"709","001-0101007","545780-0230",8,NA
"710","001-0101007","545780-0230",8,NA
"711","001-0101008","292604-9063",55,NA
"712","001-0101009","524780-2375",21,NA
